Threads,Size,Time [s]
1,1,0.000214
1,2,0.000197
1,4,0.000156
1,8,0.000177
1,16,0.000178
1,32,0.000134
1,64,0.000075
1,128,0.000194
1,256,0.000250
1,512,0.000385
1,1024,0.000600
1,2048,0.001232
1,4096,0.002169
1,8192,0.004366
1,16384,0.009799
1,32768,0.012181
1,65536,0.030209
1,131072,0.057306
1,262144,0.115433
1,524288,0.232870
1,1048576,0.412697
1,2097152,0.793346
1,4194304,1.664806
1,8388608,3.454306
1,16777216,7.139012
1,33554432,14.701882
1,67108864,30.609765
2,1,0.000149
2,2,0.000423
2,4,0.000381
2,8,0.000359
2,16,0.000338
2,32,0.000361
2,64,0.000342
2,128,0.000374
2,256,0.000281
2,512,0.000428
2,1024,0.000687
2,2048,0.001133
2,4096,0.001933
2,8192,0.002636
2,16384,0.007449
2,32768,0.013234
2,65536,0.023222
2,131072,0.040289
2,262144,0.081614
2,524288,0.153998
2,1048576,0.289420
2,2097152,0.553292
2,4194304,1.128072
2,8388608,2.283683
2,16777216,4.748806
2,33554432,9.972422
2,67108864,20.255372
4,1,0.000252
4,2,0.000301
4,4,0.000484
4,8,0.000307
4,16,0.000481
4,32,0.000455
4,64,0.000389
4,128,0.000339
4,256,0.000441
4,512,0.000313
4,1024,0.000812
4,2048,0.001385
4,4096,0.002613
4,8192,0.004374
4,16384,0.008986
4,32768,0.014610
4,65536,0.027423
4,131072,0.048741
4,262144,0.090719
4,524288,0.187421
4,1048576,0.359360
4,2097152,0.803922
4,4194304,1.479398
4,8388608,2.925321
4,16777216,5.852182
4,33554432,11.892979
4,67108864,24.227106
8,1,0.000229
8,2,0.000401
8,4,0.000355
8,8,0.001046
8,16,0.000871
8,32,0.000716
8,64,0.000954
8,128,0.000742
8,256,0.000886
8,512,0.000477
8,1024,0.001263
8,2048,0.001484
8,4096,0.003573
8,8192,0.005605
8,16384,0.009454
8,32768,0.019064
8,65536,0.029886
8,131072,0.056900
8,262144,0.117040
8,524288,0.311363
8,1048576,0.501522
8,2097152,1.258245
8,4194304,1.917689
8,8388608,3.627223
8,16777216,7.664965
8,33554432,14.379992
8,67108864,29.707624
16,1,0.000157
16,2,0.000267
16,4,0.000401
16,8,0.000738
16,16,0.000877
16,32,0.001622
16,64,0.001403
16,128,0.000946
16,256,0.001491
16,512,0.001192
16,1024,0.001132
16,2048,0.001893
16,4096,0.003789
16,8192,0.006255
16,16384,0.007115
16,32768,0.015869
16,65536,0.038897
16,131072,0.070913
16,262144,0.150174
16,524288,0.297275
16,1048576,0.606823
16,2097152,1.122099
16,4194304,2.085301
16,8388608,4.203854
16,16777216,8.373462
16,33554432,16.697303
16,67108864,33.365445
32,1,0.000237
32,2,0.000331
32,4,0.000474
32,8,0.000883
32,16,0.001244
32,32,0.002246
32,64,0.002132
32,128,0.002076
32,256,0.001899
32,512,0.002234
32,1024,0.002374
32,2048,0.002727
32,4096,0.004681
32,8192,0.006486
32,16384,0.011685
32,32768,0.019440
32,65536,0.039636
32,131072,0.073105
32,262144,0.146508
32,524288,0.305202
32,1048576,0.575126
32,2097152,1.073022
32,4194304,2.219853
32,8388608,4.547556
32,16777216,8.903855
32,33554432,16.466411
32,67108864,36.290825
64,1,0.000215
64,2,0.000427
64,4,0.000509
64,8,0.000684
64,16,0.001382
64,32,0.002281
64,64,0.005713
64,128,0.005018
64,256,0.003591
64,512,0.004769
64,1024,0.005060
64,2048,0.005968
64,4096,0.007371
64,8192,0.008674
64,16384,0.011879
64,32768,0.021204
64,65536,0.040053
64,131072,0.077445
64,262144,0.153320
64,524288,0.302091
64,1048576,0.543646
64,2097152,1.105330
64,4194304,2.200813
64,8388608,4.423182
64,16777216,9.179642
64,33554432,16.560249
64,67108864,36.155241
Threads,Size,Time [s]
1,1,0.000233
1,2,0.000175
1,4,0.000143
1,8,0.000143
1,16,0.000152
1,32,0.000124
1,64,0.000069
1,128,0.000103
1,256,0.000157
1,512,0.000280
1,1024,0.000613
1,2048,0.001155
1,4096,0.002294
1,8192,0.005279
1,16384,0.008807
1,32768,0.018647
1,65536,0.030787
1,131072,0.058541
1,262144,0.115113
1,524288,0.231459
1,1048576,0.430502
1,2097152,0.791248
1,4194304,1.641379
1,8388608,3.489571
1,16777216,7.286180
1,33554432,15.025667
1,67108864,30.594633
2,1,0.000148
2,2,0.000373
2,4,0.000397
2,8,0.000366
2,16,0.000320
2,32,0.000333
2,64,0.000351
2,128,0.000357
2,256,0.000308
2,512,0.000490
2,1024,0.000686
2,2048,0.001120
2,4096,0.001817
2,8192,0.003904
2,16384,0.007400
2,32768,0.012754
2,65536,0.023652
2,131072,0.038435
2,262144,0.078776
2,524288,0.154319
2,1048576,0.294756
2,2097152,0.553235
2,4194304,1.121492
2,8388608,2.612442
2,16777216,4.748569
2,33554432,10.385231
2,67108864,20.581725
4,1,0.000185
4,2,0.000310
4,4,0.000574
4,8,0.000409
4,16,0.000282
4,32,0.000549
4,64,0.000328
4,128,0.000276
4,256,0.000405
4,512,0.000528
4,1024,0.000845
4,2048,0.001056
4,4096,0.001886
4,8192,0.004597
4,16384,0.008881
4,32768,0.017828
4,65536,0.028305
4,131072,0.052290
4,262144,0.106240
4,524288,0.220884
4,1048576,0.391170
4,2097152,0.727304
4,4194304,1.431977
4,8388608,2.901020
4,16777216,6.156852
4,33554432,12.016654
4,67108864,24.686763
8,1,0.000220
8,2,0.000394
8,4,0.000517
8,8,0.000678
8,16,0.001085
8,32,0.000499
8,64,0.000664
8,128,0.000474
8,256,0.000744
8,512,0.000668
8,1024,0.001292
8,2048,0.001004
8,4096,0.002837
8,8192,0.003393
8,16384,0.009145
8,32768,0.017830
8,65536,0.040063
8,131072,0.073498
8,262144,0.150562
8,524288,0.300916
8,1048576,0.615779
8,2097152,1.245720
8,4194304,1.993673
8,8388608,3.921856
8,16777216,7.713996
8,33554432,14.726097
8,67108864,28.177390
16,1,0.000132
16,2,0.000330
16,4,0.000586
16,8,0.001018
16,16,0.001390
16,32,0.001996
16,64,0.001319
16,128,0.000592
16,256,0.000675
16,512,0.001172
16,1024,0.000782
16,2048,0.001857
16,4096,0.003548
16,8192,0.006314
16,16384,0.007922
16,32768,0.017486
16,65536,0.031275
16,131072,0.069838
16,262144,0.140181
16,524288,0.283802
16,1048576,0.580850
16,2097152,0.963567
16,4194304,2.010674
16,8388608,4.104145
16,16777216,8.147026
16,33554432,17.402943
16,67108864,32.599754
32,1,0.000187
32,2,0.000384
32,4,0.000491
32,8,0.001091
32,16,0.001234
32,32,0.001946
32,64,0.001190
32,128,0.001106
32,256,0.002173
32,512,0.001900
32,1024,0.002718
32,2048,0.002805
32,4096,0.003953
32,8192,0.006769
32,16384,0.011153
32,32768,0.018746
32,65536,0.038002
32,131072,0.078504
32,262144,0.144364
32,524288,0.307885
32,1048576,0.597942
32,2097152,1.075390
32,4194304,2.173139
32,8388608,4.090955
32,16777216,8.862081
32,33554432,17.991867
32,67108864,33.100271
64,1,0.000115
64,2,0.000226
64,4,0.000362
64,8,0.000543
64,16,0.001392
64,32,0.001850
64,64,0.003939
64,128,0.003924
64,256,0.003330
64,512,0.004315
64,1024,0.004888
64,2048,0.006082
64,4096,0.005641
64,8192,0.009332
64,16384,0.011677
64,32768,0.020673
64,65536,0.039535
64,131072,0.079984
64,262144,0.152124
64,524288,0.287059
64,1048576,0.554741
64,2097152,1.090870
64,4194304,2.197007
64,8388608,4.331821
64,16777216,8.742792
64,33554432,17.291317
64,67108864,35.013002
Threads,Size,Time [s]
1,1,0.000195
1,2,0.000237
1,4,0.000184
1,8,0.000168
1,16,0.000188
1,32,0.000202
1,64,0.000161
1,128,0.000136
1,256,0.000232
1,512,0.000313
1,1024,0.000671
1,2048,0.001198
1,4096,0.002375
1,8192,0.003251
1,16384,0.008842
1,32768,0.018335
1,65536,0.025842
1,131072,0.052347
1,262144,0.115932
1,524288,0.232168
1,1048576,0.412724
1,2097152,0.792668
1,4194304,1.659693
1,8388608,3.462413
1,16777216,7.770158
1,33554432,14.744625
1,67108864,30.754306
2,1,0.000084
2,2,0.000323
2,4,0.000404
2,8,0.000373
2,16,0.000342
2,32,0.000370
2,64,0.000330
2,128,0.000371
2,256,0.000437
2,512,0.000356
2,1024,0.000454
2,2048,0.000959
2,4096,0.001937
2,8192,0.003512
2,16384,0.006555
2,32768,0.014246
2,65536,0.022713
2,131072,0.040877
2,262144,0.080777
2,524288,0.155275
2,1048576,0.316831
2,2097152,0.656684
2,4194304,1.146330
2,8388608,2.358491
2,16777216,4.736108
2,33554432,10.131483
2,67108864,19.997536
4,1,0.000068
4,2,0.000185
4,4,0.000499
4,8,0.000307
4,16,0.000310
4,32,0.000316
4,64,0.000457
4,128,0.000208
4,256,0.000427
4,512,0.000436
4,1024,0.000770
4,2048,0.001384
4,4096,0.001404
4,8192,0.004593
4,16384,0.006254
4,32768,0.015943
4,65536,0.024210
4,131072,0.051417
4,262144,0.103285
4,524288,0.221593
4,1048576,0.388015
4,2097152,0.803806
4,4194304,1.430945
4,8388608,3.358822
4,16777216,5.707433
4,33554432,12.206661
4,67108864,24.297741
8,1,0.000141
8,2,0.000288
8,4,0.000470
8,8,0.000742
8,16,0.000784
8,32,0.000393
8,64,0.000337
8,128,0.000377
8,256,0.000917
8,512,0.000532
8,1024,0.001148
8,2048,0.000968
8,4096,0.002843
8,8192,0.004561
8,16384,0.011958
8,32768,0.016788
8,65536,0.029563
8,131072,0.056764
8,262144,0.150208
8,524288,0.299933
8,1048576,0.608176
8,2097152,0.941521
8,4194304,1.814726
8,8388608,3.868389
8,16777216,7.520298
8,33554432,14.479107
8,67108864,28.324808
16,1,0.000222
16,2,0.000350
16,4,0.000604
16,8,0.000797
16,16,0.001075
16,32,0.001326
16,64,0.001353
16,128,0.003791
16,256,0.001148
16,512,0.001092
16,1024,0.001811
16,2048,0.001990
16,4096,0.003235
16,8192,0.006344
16,16384,0.010368
16,32768,0.018711
16,65536,0.037860
16,131072,0.074320
16,262144,0.144985
16,524288,0.292616
16,1048576,0.586318
16,2097152,1.163501
16,4194304,2.090976
16,8388608,4.054983
16,16777216,8.429196
16,33554432,16.443565
16,67108864,32.705738
32,1,0.000156
32,2,0.000293
32,4,0.000416
32,8,0.000952
32,16,0.000774
32,32,0.001624
32,64,0.002528
32,128,0.002553
32,256,0.001804
32,512,0.001986
32,1024,0.001679
32,2048,0.002938
32,4096,0.004249
32,8192,0.007216
32,16384,0.010746
32,32768,0.019466
32,65536,0.038927
32,131072,0.075659
32,262144,0.140476
32,524288,0.306894
32,1048576,0.537149
32,2097152,1.098802
32,4194304,2.097625
32,8388608,4.439334
32,16777216,8.910497
32,33554432,18.075935
32,67108864,36.083577
64,1,0.000182
64,2,0.000389
64,4,0.000474
64,8,0.001242
64,16,0.001372
64,32,0.001995
64,64,0.003528
64,128,0.003800
64,256,0.004992
64,512,0.004119
64,1024,0.004502
64,2048,0.004642
64,4096,0.007214
64,8192,0.008828
64,16384,0.012997
64,32768,0.020887
64,65536,0.039613
64,131072,0.079592
64,262144,0.154506
64,524288,0.299706
64,1048576,0.554274
64,2097152,1.094307
64,4194304,2.149022
64,8388608,4.499947
64,16777216,9.012949
64,33554432,17.507156
64,67108864,34.736212
